Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,P4- High Pressure Tank,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
89.951,-1.46,2.08,-7.46,0.00,-1.03,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
90.951,-1.46,2.08,-7.58,0.00,-1.03,0.00,-3.25,95.67,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,1043.28,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.00 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
91.951,-1.53,2.08,-7.71,0.00,-1.03,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
92.952,-1.46,2.08,-7.83,0.00,-1.03,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.79,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
93.953,-1.46,2.08,-7.92,0.00,-1.03,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
94.953,-1.46,2.08,-8.03,0.00,-1.03,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.79,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,32.90 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
95.953,-1.53,2.08,-8.08,0.00,-0.98,0.00,-3.25,95.54,20.78,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,32.90 °C,33.09 °C,33.00 °C,33.00 °C,33.09 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
96.953,-1.46,2.08,-8.17,0.00,-1.03,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.09 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
97.953,-1.53,2.08,-8.58,0.00,-1.03,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.30,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
98.954,-1.46,2.08,-8.58,0.00,-1.03,0.00,-3.25,95.54,20.78,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
99.955,-1.53,2.08,-8.58,0.00,-1.03,0.00,-3.25,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
100.955,-1.46,2.08,-8.58,0.00,-1.03,0.00,-3.25,95.44,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
101.955,-1.53,2.08,-8.51,0.00,-0.98,0.00,-3.25,95.44,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
102.955,-1.46,2.08,-8.58,0.00,-1.03,0.00,-3.34,95.54,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
103.955,-1.46,2.08,-8.47,0.00,-1.03,0.00,-3.25,95.54,20.78,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
104.956,-1.46,2.08,-8.47,0.00,-1.03,0.00,-3.25,95.44,20.83,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
