Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,P4- High Pressure Tank,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
55.950,-1.72,0.94,-0.02,0.00,-13.82,0.00,-23.44,-19.96,4.83,-2.27,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.81,0.78,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.20 °C,28.89 °C,29.00 °C,28.89 °C,29.00 °C,28.89 °C,28.89 °C,1369.68 °C,30.58 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
56.950,-1.72,0.87,0.07,0.00,-13.82,0.00,-23.35,-19.87,4.78,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.82,0.79,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,28.89 °C,29.00 °C,28.89 °C,29.00 °C,28.79 °C,28.89 °C,1369.68 °C,30.89 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
57.950,-1.72,0.87,0.23,0.00,-13.66,0.00,-23.25,-19.87,4.62,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.83,0.80,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.69 °C,28.89 °C,28.89 °C,28.89 °C,29.00 °C,28.89 °C,28.89 °C,1369.68 °C,30.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
58.950,-1.76,0.87,0.23,0.00,-13.62,0.00,-22.84,-19.55,4.62,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.83,0.80,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.69 °C,28.89 °C,28.89 °C,28.89 °C,28.89 °C,29.00 °C,29.00 °C,1369.68 °C,30.97 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
59.950,-1.72,0.94,0.27,0.00,-13.78,0.00,-23.03,-20.14,4.62,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.84,0.80,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.89 °C,28.79 °C,28.89 °C,28.89 °C,29.00 °C,28.79 °C,29.00 °C,1369.68 °C,31.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
60.950,-1.72,0.87,0.37,0.00,-13.73,0.00,-22.84,-19.45,4.62,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.84,0.81,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00 °C,28.79 °C,28.89 °C,28.79 °C,29.00 °C,28.79 °C,29.00 °C,1369.68 °C,31.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
61.950,-1.72,0.87,0.48,0.00,-13.73,0.00,-22.75,-18.95,4.62,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.85,0.81,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.10 °C,28.79 °C,28.89 °C,28.89 °C,29.00 °C,28.89 °C,29.00 °C,1369.68 °C,31.18 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
62.951,-1.76,0.94,0.43,0.00,-13.73,0.00,-22.75,-19.45,4.62,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.85,0.82,48.45,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.20 °C,28.79 °C,28.89 °C,28.79 °C,29.00 °C,28.89 °C,28.89 °C,1369.68 °C,31.18 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
63.951,-1.76,0.87,0.48,0.00,-13.78,0.00,-22.66,-19.55,4.53,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.85,0.82,48.45,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.20 °C,28.79 °C,28.89 °C,28.89 °C,29.00 °C,28.89 °C,28.89 °C,1369.68 °C,31.29 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
64.952,-1.72,0.82,0.48,0.00,-13.62,0.00,-22.34,-19.13,4.53,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.86,0.82,48.45,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.29 °C,28.89 °C,29.00 °C,28.69 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,31.29 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
65.953,-1.72,0.82,0.48,0.00,-13.66,0.00,-22.43,-19.23,4.58,-2.27,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.86,0.82,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.29 °C,29.00 °C,29.00 °C,29.20 °C,29.00 °C,28.89 °C,28.89 °C,1369.68 °C,31.29 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
66.953,-1.76,0.82,0.48,0.00,-13.73,0.00,-22.75,-20.46,4.58,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.86,0.82,48.45,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.39 °C,29.00 °C,29.00 °C,28.89 °C,29.00 °C,28.89 °C,28.89 °C,1369.68 °C,31.29 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
