Time (s),MV FUEL PT,MV FUEL PT,P1 - Chamber Pressure,Not Used,High Press,Not Use,Load Cell,CHAMBER,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,LOX TANK SFT ,FUEL TANK SFT ,DOME SET SFT,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
2277.375,-1.03,8.58,-3.43,0.00,2.74,0.00,-4.14,-1.92,-1.88,-1.46,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.73,1.68,-25.30,-2.48,0.00,0.00,167.11,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.49 °C,30.49 °C,30.69 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2278.375,-0.98,8.54,-3.36,0.00,2.74,0.00,-4.07,-1.88,-1.88,-1.53,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.73,1.68,-17.67,-2.48,0.00,0.00,169.29,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.59 °C,30.49 °C,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2279.375,-0.98,8.54,-3.23,0.00,2.74,0.00,-3.91,-1.92,-1.88,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.10,1.73,1.69,-17.67,-2.48,0.00,0.00,170.56,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.59 °C,30.49 °C,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2280.375,-1.03,8.54,-3.07,0.00,2.74,0.00,-3.99,-1.92,-1.88,-1.37,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.69,-10.04,-2.48,0.00,0.00,171.32,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.59 °C,30.39 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2281.375,-0.98,8.54,-3.36,0.00,2.74,0.00,-2.74,-1.92,-1.88,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.73,1.69,-10.04,-2.48,0.00,0.00,172.29,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2282.375,-0.98,8.58,-5.72,0.00,2.74,0.00,-2.51,-1.92,-1.92,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.73,1.69,-10.04,-2.48,0.00,0.00,174.02,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.49 °C,30.39 °C,30.39 °C,30.49 °C,30.59 °C,33.19 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2283.375,-0.98,8.54,-5.52,0.00,2.74,0.00,-2.93,-1.92,-1.92,-1.46,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.68,-10.04,-2.48,0.00,0.00,174.47,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2284.375,-0.98,8.58,-5.52,0.00,3.20,0.00,-3.23,-1.88,-1.92,-1.53,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.68,-10.04,-2.48,0.00,0.00,175.22,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.49 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2285.375,-0.98,8.58,-3.73,0.00,2.74,0.00,-2.93,-1.92,-1.97,-1.46,0.00,0.00,0.00,0.00,0.00,0.00,5.11,5.11,1.59,1.56,-10.04,-2.48,0.00,0.00,175.97,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.59 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,30.49 °C,30.59 °C,33.19 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2286.375,-0.98,8.58,-2.77,0.00,2.74,0.00,-3.50,-1.92,-1.97,-1.46,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.62,1.58,-10.04,-2.48,0.00,0.00,176.42,7.44,4.73,0.00,0.00,0.00,0.00,0.00,30.59 °C,30.49 °C,30.49 °C,30.49 °C,30.20 °C,30.49 °C,30.59 °C,33.08 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
