Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,Load Cell,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,High Press PT,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
73.095,12.18,-9.73,-14.88,0.00,-16.48,0.00,140.94,-31.72,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,23.02,-2.48,0.00,0.00,-3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.09 °C,-100.00 °C,36.60 °C,36.60 °C,36.70 °C,13.69 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
74.095,12.38,-9.73,-14.83,0.00,-17.46,0.00,136.39,-31.86,-1.37,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,23.02,-2.48,0.00,0.00,-4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.80 °C,-100.00 °C,36.89 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
75.095,12.77,-9.73,-14.88,0.00,-15.77,0.00,140.53,-31.86,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,23.02,-2.48,0.00,0.00,-3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.80 °C,-100.00 °C,36.80 °C,36.60 °C,36.70 °C,13.58 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
76.095,12.77,-9.73,-14.97,0.00,-15.52,0.00,139.04,-31.86,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.90,33.19,-2.48,0.00,0.00,-3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.80 °C,-100.00 °C,36.60 °C,36.39 °C,36.60 °C,13.58 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
77.096,13.44,-9.68,-15.01,0.00,-16.98,0.00,137.87,-31.95,-1.42,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.91,33.19,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.09 °C,-100.00 °C,36.50 °C,36.39 °C,36.60 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
78.097,13.87,-9.73,-14.92,0.00,-14.37,0.00,141.21,-31.86,-1.42,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.91,33.19,-2.48,0.00,0.00,-1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.29 °C,-100.00 °C,36.99 °C,36.50 °C,36.60 °C,13.69 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
79.098,14.08,-9.73,-14.92,0.00,-14.88,0.00,140.64,-31.95,-1.42,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.91,33.19,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.89 °C,-100.00 °C,36.80 °C,36.50 °C,36.60 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
80.098,14.28,-9.73,-14.88,0.00,-14.92,0.00,140.22,-31.95,-1.42,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.92,33.19,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.50 °C,-100.00 °C,36.80 °C,36.39 °C,36.60 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
81.100,14.53,-9.73,-14.92,0.00,-14.63,0.00,138.55,-32.04,-1.42,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.91,33.19,-2.48,0.00,0.00,-3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.50 °C,-100.00 °C,36.89 °C,36.39 °C,36.60 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
82.102,14.72,-9.73,-14.92,0.00,-14.88,0.00,140.45,-32.04,-1.42,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.92,33.19,-2.48,0.00,0.00,-1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.40 °C,-100.00 °C,36.60 °C,36.39 °C,36.60 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
