Time (s),MV FUEL PT,MV FUEL PT,P1 - Chamber Pressure,Not Used,High Press,Not Use,Load Cell,CHAMBER,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,LOX TANK SFT ,FUEL TANK SFT ,DOME SET SFT,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
81.410,-0.98,8.22,-0.02,0.00,-1.84,0.00,-5.47,-1.58,0.43,-0.62,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.77,1.73,0.13,-2.48,0.00,0.00,67.72,61.79,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.90 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
82.410,-0.98,8.29,-0.23,0.00,-1.84,0.00,-6.99,-1.58,0.43,-0.73,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.76,1.71,0.13,-2.48,0.00,0.00,67.72,61.79,3.01,0.00,0.00,0.00,0.00,0.00,30.69 °C,30.69 °C,30.79 °C,30.69 °C,30.90 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
83.411,-0.98,8.29,-0.32,0.00,-1.84,0.00,-6.08,-1.58,0.43,-0.66,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.76,1.71,0.13,-2.48,0.00,0.00,67.49,61.79,2.78,0.00,0.00,0.00,0.00,0.00,30.69 °C,30.69 °C,30.69 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
84.411,-0.98,8.29,-0.02,0.00,-1.84,0.00,-8.21,-1.58,0.53,-1.03,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.76,1.71,0.13,-2.48,0.00,0.00,67.72,61.79,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.90 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
85.411,-1.03,8.29,-0.02,0.00,-1.84,0.00,-8.13,-1.58,0.48,-0.41,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.75,1.71,0.13,-2.48,0.00,0.00,67.27,62.09,3.01,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
86.411,-1.03,8.29,-0.07,0.00,-1.84,0.00,-8.05,-1.58,0.53,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.75,1.70,0.13,-2.48,0.00,0.00,67.27,62.09,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
87.413,-1.03,8.29,-0.07,0.00,-1.84,0.00,-7.48,-1.58,0.62,-0.82,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.75,1.70,0.13,-2.48,0.00,0.00,66.97,62.09,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
88.414,-1.03,8.29,0.07,0.00,-1.84,0.00,-7.48,-1.53,0.62,-0.62,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.74,1.70,0.13,-2.48,0.00,0.00,66.97,62.31,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.69 °C,30.79 °C,30.69 °C,30.90 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
89.414,-1.03,8.29,0.07,0.00,-1.84,0.00,-7.83,-1.58,0.62,-1.03,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.74,1.70,0.13,-2.48,0.00,0.00,66.97,62.31,2.78,0.00,0.00,0.00,0.00,0.00,30.69 °C,30.69 °C,30.69 °C,30.69 °C,31.00 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
90.414,-0.98,8.29,0.07,0.00,-1.84,0.00,-7.98,-1.58,0.57,-1.03,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.74,1.70,0.13,-2.48,0.00,0.00,66.97,62.31,2.78,0.00,0.00,0.00,0.00,0.00,30.69 °C,30.69 °C,30.69 °C,30.69 °C,30.90 °C,30.69 °C,30.79 °C,22.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
